,Brand,Model,model_year,km_driven,car_type,gear_type,location,price,fuel_type
190,honda,CITY ,2014,52000.0,sedan,Manual,andheri,611000.0,Petrol
191,audi,Q3 ,2013,57297.0,suv,Auto,malad,1199000.0,Diesel
192,mercedes,BENZ S CLAAS S 500 ,2014,37300.0,sedan,Auto,malad,5450000.0,Petrol
193,bmw,6 SERIES ,2013,41000.0,sedan,Auto,malad,3100000.0,Diesel
194,bmw,6SERIES GT 630I ,2021,7000.0,sedan,Auto,malad,6750000.0,Petrol
195,bmw,X5 SAV 3.0D ,2017,56500.0,suv/muv,Auto,malad,4650000.0,Diesel
196,ford,ENDEAVOUR TITANIUM ,2018,57335.0,suv/muv,Auto,malad,3325000.0,Diesel
197,honda,BRIO VX MT ,2013,53000.0,hatchback,Manual,malad,315000.0,Petrol
198,hyundai,CRETA 1.6 SX PLUS T ,2016,50000.0,suv/muv,Auto,malad,1025000.0,Petrol
199,hyundai,CRETA SX 1.6  ,2018,22000.0,suv/muv,Auto,malad,1425000.0,Petrol
200,hyundai,ELITE I20 1.2 KAPPA  ,2017,38300.0,hatchback,Manual,malad,549999.0,Petrol
201,hyundai,ELITE I20 1.2  ,2020,19000.0,hatchback,Manual,malad,725000.0,Petrol
202,hyundai,GRAND I10  ,2014,18500.0,hatchback,Auto,malad,385000.0,Petrol
203,hyundai,GRAND I10 ,2017,29500.0,hatchback,Manual,malad,449000.0,Petrol
204,hyundai,I10 ERA ,2008,45400.0,hatchback,Manual,malad,125000.0,Petrol
205,hyundai,I20 ASTA 1.2 ,2012,24300.0,hatchback,Manual,malad,335000.0,Petrol
206,hyundai,VERNA FLUIDIC ,2014,42000.0,sedan,Manual,malad,505000.0,Petrol
207,hyundai,VERNA FLUIDIC  ,2015,58200.0,sedan,Auto,malad,595000.0,Petrol
208,landrover,ROVER EVOQUE ,2011,57300.0,suv/muv,Automatic,malad,1949000.0,Diesel
209,mercedes,BENZ GLE ,2017,44000.0,suv/muv,Automatic,malad,4750000.0,Diesel
210,mercedes,BENZ GLS 350 D ,2016,35500.0,suv/muv,Automatic,malad,6150000.0,Diesel
